Serial,Year,Week,Game,Pick,Opponent,h?,Spread,Elo,Weighted DVOA,Difference,Weights,Correct?,Points
2017-3-12,2017,3,12,Tennessee,Seattle,,-3,1,,-4,4,yes,4
2017-3-13,2017,3,13,Green Bay,Cincinnati,,-8.5,-8,,-0.5,15,yes,15
2017-3-14,2017,3,14,Kansas City,L.A. Chargers,,-3,-7,,4,13,yes,13
2017-3-15,2017,3,15,Oakland,Washington,,-3,-0.5,,-2.5,7,no,0
2017-3-16,2017,3,16,Dallas,Arizona,,-3,1.5,,-4.5,6,yes,6
2017-4-1,2017,4,1,Green Bay,Chicago,,-7.5,-10.5,,3,16,yes,16
2017-4-11,2017,4,11,Arizona,San Francisco,,-6.5,-10,,3.5,12,yes,12
2017-4-5,2017,4,5,Dallas,L.A. Rams,,-6,-9,,3,13,no,0
2017-4-7,2017,4,7,New England,Carolina,,-9,-9,,0,14,no,0
2017-4-3,2017,4,3,Atlanta,Buffalo,,-8,-8.5,,0.5,11,no,0
2017-4-16,2017,4,16,Kansas City,Washington,,-7,-8.5,,1.5,15,yes,15
2017-4-15,2017,4,15,Seattle,Indianapolis,,-13,-5.5,,-7.5,10,yes,10
2017-4-13,2017,4,13,Tampa Bay,N.Y. Giants,,-3,-3.5,,0.5,9,yes,9
2017-4-4,2017,4,4,Cincinnati,Cleveland,,-3,-3,,0,8,yes,8
2017-4-12,2017,4,12,Philadelphia,L.A. Chargers,,2,-3,,5,7,yes,7
2017-4-6,2017,4,6,Minnesota,Detroit,,-1.5,-2,,0.5,6,no,0
2017-4-9,2017,4,9,Pittsburgh,Baltimore,,-3,-1.5,,-1.5,3,yes,3
2017-4-10,2017,4,10,Houston,Tennessee,,1.5,-1.5,,3,5,yes,5
2017-4-2,2017,4,2,New Orleans,Miami,,-3,-1,,-2,2,yes,2
2017-4-8,2017,4,8,Jacksonville,N.Y. Jets,,-3,2.5,,-5.5,1,no,0
2017-4-14,2017,4,14,Oakland,Denver,,3,3.5,,-0.5,4,no,0
2017-5-9,2017,5,9,Pittsburgh,Jacksonville,,-8.5,-9.5,,1,14,no,0
2017-5-5,2017,5,5,Indianapolis,San Francisco,,-1.5,-7.5,,6,7,yes,7
2017-5-7,2017,5,7,N.Y. Giants,L.A. Chargers,,-3.5,-5,,1.5,9,no,0
2017-5-10,2017,5,10,Oakland,Baltimore,,-2.5,-5,,2.5,13,no,0
2017-5-13,2017,5,13,Kansas City,Houston,,-1,-5,,4,2,yes,2
2017-5-3,2017,5,3,N.Y. Jets,Cleveland,,2.5,-4.5,,7,6,yes,6
2017-5-8,2017,5,8,Philadelphia,Arizona,,-6.5,-4.5,,-2,12,yes,12
2017-5-4,2017,5,4,Detroit,Carolina,,-2,-4,,2,10,no,0
2017-5-1,2017,5,1,New England,Tampa Bay,,-5,-3,,-2,1,yes,1
2017-5-14,2017,5,14,Minnesota,Chicago,,-3,-2,,-1,5,yes,5
2017-5-12,2017,5,12,Dallas,Green Bay,,-2.5,-1,,-1.5,4,no,0
2017-5-2,2017,5,2,Buffalo,Cincinnati,,3,-0.5,,3.5,11,no,0
2017-5-11,2017,5,11,L.A. Rams,Seattle,,-1.5,1.5,,-3,8,no,0
2017-5-6,2017,5,6,Tennessee,Miami,,-1,2.5,,-3.5,3,no,0
2017-6-1,2017,6,1,Carolina,Philadelphia,,-3,-2,,-1,4,no,0
2017-6-2,2017,6,2,Atlanta,Miami,,-13,-8.5,,-4.5,14,no,0
2017-6-3,2017,6,3,Green Bay,Minnesota,,-3,-1.5,,-1.5,6,no,0
2017-6-4,2017,6,4,New Orleans,Detroit,,-4.5,-2,,-2.5,5,yes,5
2017-6-5,2017,6,5,New England,N.Y. Jets,,-9.5,-5,,-4.5,10,yes,10
2017-6-6,2017,6,6,Washington,San Francisco,,-11,-11,,0,12,yes,12
2017-6-7,2017,6,7,Baltimore,Chicago,,-6.5,-7.5,,1,8,no,0
2017-6-8,2017,6,8,Houston,Cleveland,,-10,-11,,1,11,yes,11
2017-6-9,2017,6,9,Tampa Bay,Arizona,,-1,2.5,,-3.5,1,no,0
2017-6-10,2017,6,10,Jacksonville,L.A. Rams,,-2.5,-4.5,,2,3,no,0
2017-6-11,2017,6,11,Kansas City,Pittsburgh,,-4,-8.5,,4.5,9,no,0
2017-6-12,2017,6,12,Oakland,L.A. Chargers,,,-5,,5,7,no,0
2017-6-13,2017,6,13,Denver,N.Y. Giants,,-11.5,-8,,-3.5,13,no,0
2017-6-14,2017,6,14,Tennessee,Indianapolis,,,-2.5,,2.5,2,yes,2
2017-7-10,2017,7,10,Dallas,San Francisco,,-6,-7,,1,14,yes,14
2017-7-12,2017,7,12,Pittsburgh,Cincinnati,,-5,-6.5,,1.5,11,yes,11
2017-7-9,2017,7,9,Minnesota,Baltimore,,-5.5,-5.5,,0,10,yes,10
2017-7-14,2017,7,14,New England,Atlanta,,-3.5,-5.5,,2,4,yes,4
2017-7-15,2017,7,15,Philadelphia,Washington,,-4.5,-5.5,,1,12,yes,12
2017-7-1,2017,7,1,Kansas City,Oakland,,-3,-5,,2,7,no,0
2017-7-2,2017,7,2,Buffalo,Tampa Bay,,-3,-5,,2,3,yes,3
2017-7-4,2017,7,4,Tennessee,Cleveland,,-5.5,-5,,-0.5,13,yes,13
2017-7-8,2017,7,8,Miami,N.Y. Jets,,-3,-4.5,,1.5,1,yes,1
2017-7-3,2017,7,3,Carolina,Chicago,,-3,-3,,0,9,no,0
2017-7-13,2017,7,13,Denver,L.A. Chargers,,0,-1.5,,1.5,5,no,0
2017-7-11,2017,7,11,Seattle,N.Y. Giants,,-4.5,-1,,-3.5,15,yes,15
2017-7-7,2017,7,7,L.A. Rams,Arizona,,-3.5,1,,-4.5,8,yes,8
2017-7-6,2017,7,6,Jacksonville,Indianapolis,,-3,1.5,,-4.5,2,yes,2
2017-7-5,2017,7,5,New Orleans,Green Bay,,-4,4,,-8,6,yes,6
2017-8-1,2017,8,1,Baltimore,Miami,,-3,-0.5,,-2.5,5,yes,5
2017-8-2,2017,8,2,Minnesota,Cleveland,,-9.5,-11.5,,2,10,yes,10
2017-8-3,2017,8,3,Buffalo,Oakland,,-2.5,-4.5,,2,6,yes,6
2017-8-4,2017,8,4,Cincinnati,Indianapolis,,-11,-6,,-5,4,yes,4
2017-8-5,2017,8,5,New England,L.A. Chargers,,-7.5,-11.5,,4,2,yes,2
2017-8-6,2017,8,6,New Orleans,Chicago,,-9,-9,,0,12,yes,12
2017-8-7,2017,8,7,Atlanta,N.Y. Jets,,-4.5,-3,,-1.5,3,yes,3
2017-8-8,2017,8,8,Philadelphia,San Francisco,,-13,-15.5,,2.5,13,yes,13
2017-8-9,2017,8,9,Carolina,Tampa Bay,,2,1.5,,0.5,9,yes,9
2017-8-10,2017,8,10,Houston,Seattle,,-5.5,-7,,1.5,8,no,0
2017-8-11,2017,8,11,Dallas,Washington,,-2,0.5,,-2.5,1,yes,1
2017-8-12,2017,8,12,Pittsburgh,Detroit,,-2.5,-0.5,,-2,7,yes,7
2017-8-13,2017,8,13,Kansas City,Denver,,-7.5,-9,,1.5,11,yes,11
2017-9-8,2017,9,8,Houston,Indianapolis,,-13,-6.5,,-6.5,13,no,0
2017-9-5,2017,9,5,Philadelphia,Denver,,-7.5,-7.5,,0,12,yes,12
2017-9-10,2017,9,10,Seattle,Washington,,-7.5,-8,,0.5,9,no,0
2017-9-3,2017,9,3,New Orleans,Tampa Bay,,-6.5,-9,,2.5,7,yes,7
2017-9-7,2017,9,7,Jacksonville,Cincinnati,,-5.5,-3.5,,-2,11,yes,11
2017-9-4,2017,9,4,L.A. Rams,N.Y. Giants,,-3.5,0.5,,-4,8,yes,8
2017-9-2,2017,9,2,Tennessee,Baltimore,,-3.5,-2,,-1.5,4,yes,4
2017-9-12,2017,9,12,Oakland,Miami,,-3,3,,-6,3,yes,3
2017-9-1,2017,9,1,Buffalo,N.Y. Jets,,-3,-2.5,,-0.5,10,no,0
2017-9-13,2017,9,13,Detroit,Green Bay,,-2,4.5,,-6.5,5,yes,5
2017-9-11,2017,9,11,Kansas City,Dallas,,1,-0.5,,1.5,2,no,0
2017-9-6,2017,9,6,Carolina,Atlanta,,2,0,,2,1,yes,1
2017-9-9,2017,9,9,San Francisco,Arizona,,2.5,4.5,,-2,6,no,0
2017-10-1,2017,10,1,Arizona,Seattle,,6,2,,4,7,no,0
2017-10-2,2017,10,2,New Orleans,Buffalo,,-3,-0.5,,-2.5,9,yes,9
2017-10-3,2017,10,3,Chicago,Green Bay,,-5.5,1.5,,-7,4,no,0
2017-10-4,2017,10,4,Detroit,Cleveland,,-11,-14,,3,14,yes,14
2017-10-5,2017,10,5,Tennessee,Cincinnati,,-4.5,-3.5,,-1,8,yes,8
2017-10-6,2017,10,6,Pittsburgh,Indianapolis,,-10,-5.5,,-4.5,12,yes,12
2017-10-7,2017,10,7,N.Y. Jets,Tampa Bay,,-2.5,1,,-3.5,2,no,0
2017-10-8,2017,10,8,Minnesota,Washington,,-1.5,0,,-1.5,1,yes,1
2017-10-9,2017,10,9,Jacksonville,L.A. Chargers,,-3.5,-5,,1.5,5,yes,5
2017-10-10,2017,10,10,L.A. Rams,Houston,,-11,-6.5,,-4.5,13,yes,13
2017-10-11,2017,10,11,Dallas,Atlanta,,3,1.5,,1.5,3,no,0
2017-10-12,2017,10,12,San Francisco,N.Y. Giants,,2.5,3.5,,-1,6,yes,6
2017-10-13,2017,10,13,New England,Denver,,-7.5,-6.5,,-1,10,yes,10
2017-10-14,2017,10,14,Carolina,Miami,,-10,-6,,-4,11,yes,11
2017-11-1,2017,11,1,Pittsburgh,Tennessee,,-7,-8,,1,10,yes,10
2017-11-2,2017,11,2,Detroit,Chicago,,-3,-3.5,,0.5,9,yes,9
2017-11-3,2017,11,3,Jacksonville,Cleveland,,-7.5,-8.5,,1,13,yes,13
2017-11-4,2017,11,4,Baltimore,Green Bay,,-2,5,,-7,7,yes,7
2017-11-5,2017,11,5,Tampa Bay,Miami,,1,2.5,,-1.5,5,yes,5
2017-11-6,2017,11,6,Minnesota,L.A. Rams,,-2.5,-3.5,,1,1,yes,1
2017-11-7,2017,11,7,New Orleans,Washington,,-7.5,-9,,1.5,12,yes,12
2017-11-8,2017,11,8,Kansas City,N.Y. Giants,,-10.5,-7.5,,-3,14,no,0
2017-11-9,2017,11,9,Houston,Arizona,,-2.5,-2,,-0.5,4,yes,4
2017-11-10,2017,11,10,L.A. Chargers,Buffalo,,-4.5,-1,,-3.5,2,yes,2
2017-11-11,2017,11,11,Denver,Cincinnati,,-2.5,-3,,0.5,3,no,0
2017-11-12,2017,11,12,New England,Oakland,,-7,-9,,2,11,yes,11
2017-11-13,2017,11,13,Philadelphia,Dallas,,-4,1,,-5,6,yes,6
2017-11-14,2017,11,14,Atlanta,Seattle,,3,2,,1,8,yes,8
2017-12-1,2017,12,1,Minnesota,Detroit,,-3,0.5,,-3.5,2,yes,2
2017-12-2,2017,12,2,L.A. Chargers,Dallas,,2,-5,,7,3,yes,3
2017-12-3,2017,12,3,Washington,N.Y. Giants,,-7.5,-5,,-2.5,8,yes,8
2017-12-4,2017,12,4,Atlanta,Tampa Bay,,-10,-9,,-1,10,yes,10
2017-12-5,2017,12,5,Cincinnati,Cleveland,,-8,-11.5,,3.5,7,yes,7
2017-12-6,2017,12,6,Tennessee,Indianapolis,,-3,-0.5,,-2.5,11,yes,11
2017-12-7,2017,12,7,Kansas City,Buffalo,,-10,-9,,-1,9,no,0
2017-12-8,2017,12,8,New England,Miami,,-16.5,-15,,-1.5,16,yes,16
2017-12-9,2017,12,9,Carolina,N.Y. Jets,,-4.5,-2,,-2.5,13,yes,13
2017-12-10,2017,12,10,Philadelphia,Chicago,,-13.5,-13.5,,0,15,yes,15
2017-12-11,2017,12,11,Seattle,San Francisco,,-6.5,-9,,2.5,4,yes,4
2017-12-12,2017,12,12,Denver,Oakland,,5,4,,1,5,no,0
2017-12-13,2017,12,13,L.A. Rams,New Orleans,,-2.5,1.5,,-4,1,yes,1
2017-12-14,2017,12,14,Jacksonville,Arizona,,-5.5,-1.5,,-4,6,no,0
2017-12-15,2017,12,15,Pittsburgh,Green Bay,,-14,-8.5,,-5.5,14,yes,14
2017-12-16,2017,12,16,Baltimore,Houston,,-7.5,-5.5,,-2,12,yes,12
2017-13-1,2017,13,1,Dallas,Washington,,1.5,-3,,4.5,8,yes,8
2017-13-2,2017,13,2,Minnesota,Atlanta,,3,3,,0,1,yes,1
2017-13-3,2017,13,3,New England,Buffalo,,-8.5,-7,,-1.5,15,yes,15
2017-13-4,2017,13,4,San Francisco,Chicago,,3,6.5,,-3.5,7,yes,7
2017-13-5,2017,13,5,Green Bay,Tampa Bay,,-2,-4,,2,3,yes,3
2017-13-6,2017,13,6,Tennessee,Houston,,-6.5,-4.5,,-2,9,yes,9
2017-13-7,2017,13,7,Miami,Denver,,1.5,-2,,3.5,5,yes,5
2017-13-8,2017,13,8,Kansas City,N.Y. Jets,,-3,-3.5,,0.5,2,no,0
2017-13-9,2017,13,9,Jacksonville,Indianapolis,,-10,-8,,-2,14,yes,14
2017-13-10,2017,13,10,Baltimore,Detroit,,-3,-3,,0,6,yes,6
2017-13-11,2017,13,11,L.A. Chargers,Cleveland,,-14,-14.5,,0.5,16,yes,16
2017-13-12,2017,13,12,Oakland,N.Y. Giants,,-9,-6,,-3,10,yes,10
2017-13-13,2017,13,13,New Orleans,Carolina,,-4.5,-4.5,,0,4,yes,4
2017-13-14,2017,13,14,L.A. Rams,Arizona,,-7,-2,,-5,12,yes,12
2017-13-15,2017,13,15,Philadelphia,Seattle,,-5.5,-0.5,,-5,11,no,0
2017-13-16,2017,13,16,Pittsburgh,Cincinnati,,-5.5,-4.5,,-1,13,yes,13
2017-14-1,2017,14,1,New Orleans,Atlanta,,2.5,1.5,,1,7,no,0
2017-14-2,2017,14,2,Buffalo,Indianapolis,,,-6.5,,6.5,11,yes,11
2017-14-3,2017,14,3,Cincinnati,Chicago,,-6.5,-6,,-0.5,14,no,0
2017-14-4,2017,14,4,Green Bay,Cleveland,,-3.5,-8.5,,5,3,yes,3
2017-14-5,2017,14,5,Oakland,Kansas City,,4,5,,-1,2,no,0
2017-14-6,2017,14,6,Dallas,N.Y. Giants,,-3.5,-3,,-0.5,12,yes,12
2017-14-7,2017,14,7,Detroit,Tampa Bay,,,0,,0,10,yes,10
2017-14-8,2017,14,8,Minnesota,Carolina,,-2.5,-1,,-1.5,1,no,0
2017-14-9,2017,14,9,San Francisco,Houston,,3,8,,-5,6,yes,6
2017-14-10,2017,14,10,N.Y. Jets,Denver,,-1,0,,-1,9,no,0
2017-14-11,2017,14,11,Tennessee,Arizona,,-3,-1,,-2,4,no,0
2017-14-12,2017,14,12,L.A. Chargers,Washington,,-6,-5.5,,-0.5,13,yes,13
2017-14-13,2017,14,13,Philadelphia,L.A. Rams,,2.5,0.5,,2,5,yes,5
2017-14-14,2017,14,14,Jacksonville,Seattle,,-2.5,1,,-3.5,8,yes,8
2017-14-15,2017,14,15,Pittsburgh,Baltimore,,-5,-6.5,,1.5,15,yes,15
2017-14-16,2017,14,16,New England,Miami,,-11,-10,,-1,16,no,0
2017-15-1,2017,15,1,Indianapolis,Denver,,2.5,-0.5,,3,2,no,0
2017-15-2,2017,15,2,Detroit,Chicago,,-5.5,-6.5,,1,5,yes,5
2017-15-3,2017,15,3,L.A. Chargers,Kansas City,,-1,3.5,,-4.5,10,no,0
2017-15-4,2017,15,4,Buffalo,Miami,,,-3.5,,3.5,6,yes,6
2017-15-5,2017,15,5,Baltimore,Cleveland,,-7.5,-11,,3.5,14,yes,14
2017-15-6,2017,15,6,Minnesota,Cincinnati,,-11,-11.5,,0.5,11,yes,11
2017-15-7,2017,15,7,New Orleans,N.Y. Jets,,-16,-11,,-5,16,yes,16
2017-15-8,2017,15,8,Philadelphia,N.Y. Giants,,-7.5,-9.5,,2,7,yes,7
2017-15-9,2017,15,9,Arizona,Washington,,4.5,2.5,,2,3,no,0
2017-15-10,2017,15,10,Green Bay,Carolina,,2.5,5.5,,-3,4,no,0
2017-15-11,2017,15,11,Jacksonville,Houston,,-11.5,-9,,-2.5,15,yes,15
2017-15-12,2017,15,12,L.A. Rams,Seattle,,2.5,4,,-1.5,9,yes,9
2017-15-13,2017,15,13,New England,Pittsburgh,,-3,1,,-4,1,yes,1
2017-15-14,2017,15,14,San Francisco,Tennessee,,-2,4,,-6,8,yes,8
2017-15-15,2017,15,15,Dallas,Oakland,,-3,0,,-3,12,yes,12
2017-15-16,2017,15,16,Atlanta,Tampa Bay,,-6,5.5,,-11.5,13,yes,13
2017-16-1,2017,16,1,Baltimore,Indianapolis,,-13.5,-11.5,,-2,16,yes,16
2017-16-2,2017,16,2,Minnesota,Green Bay,,-8,-3,,-5,12,yes,12
2017-16-3,2017,16,3,Chicago,Cleveland,,-6.5,-10.5,,4,6,yes,6
2017-16-4,2017,16,4,Detroit,Cincinnati,,-3,-3,,0,2,no,0
2017-16-5,2017,16,5,L.A. Rams,Tennessee,,-6.5,-3,,-3.5,8,yes,8
2017-16-6,2017,16,6,Kansas City,Miami,,-10.5,-8,,-2.5,5,yes,5
2017-16-7,2017,16,7,New England,Buffalo,,-11.5,-11.5,,0,15,yes,15
2017-16-8,2017,16,8,New Orleans,Atlanta,,-6,-2.5,,-3.5,1,yes,1
2017-16-9,2017,16,9,L.A. Chargers,N.Y. Jets,,-6.5,-2,,-4.5,9,yes,9
2017-16-10,2017,16,10,Denver,Washington,,3,3,,0,7,no,0
2017-16-11,2017,16,11,Carolina,Tampa Bay,,-11,-9.5,,-1.5,14,yes,14
2017-16-12,2017,16,12,San Francisco,Jacksonville,,4,6,,-2,3,yes,3
2017-16-13,2017,16,13,Dallas,Seattle,,-5,7,,-12,10,no,0
2017-16-14,2017,16,14,N.Y. Giants,Arizona,,3.5,6,,-2.5,4,no,0
2017-16-15,2017,16,15,Pittsburgh,Houston,,-8,-8,,0,11,yes,11
2017-16-16,2017,16,16,Philadelphia,Oakland,,-9,-11,,2,13,yes,13
2017-17-1,2017,17,1,Detroit,Green Bay,,-7,-4,,-3,11,yes,11
2017-17-2,2017,17,2,Indianapolis,Houston,,-5.5,-1.5,,-4,4,yes,4
2017-17-3,2017,17,3,Minnesota,Chicago,,-13,-12,,-1,16,yes,16
2017-17-4,2017,17,4,New England,N.Y. Jets,,-16.5,-16,,-0.5,14,yes,14
2017-17-5,2017,17,5,Washington,N.Y. Giants,,-3,-3,,0,7,no,0
2017-17-6,2017,17,6,Philadelphia,Dallas,,3.5,-8.5,,12,8,no,0
2017-17-7,2017,17,7,Pittsburgh,Cleveland,,-6,-21,,15,15,yes,15
2017-17-8,2017,17,8,Atlanta,Carolina,,-4,-3,,-1,1,yes,1
2017-17-9,2017,17,9,Kansas City,Denver,,4.5,-4.5,,9,2,yes,2
2017-17-10,2017,17,10,Tennessee,Jacksonville,,-2.5,0,,-2.5,3,yes,3
2017-17-11,2017,17,11,San Francisco,L.A. Rams,,-4,12,,-16,9,yes,9
2017-17-12,2017,17,12,Buffalo,Miami,,-2,0.5,,-2.5,6,yes,6
2017-17-13,2017,17,13,L.A. Chargers,Oakland,,-7,-6,,-1,12,yes,12
2017-17-14,2017,17,14,Seattle,Arizona,,-8,-8,,0,13,no,0
2017-17-15,2017,17,15,New Orleans,Tampa Bay,,-5,-7,,2,10,no,0
2017-17-16,2017,17,16,Cincinnati,Baltimore,,-10,-8.5,,-1.5,5,yes,5
2018-1-1,2018,1,1,Kansas City,L.A. Chargers,x,-3.5,-4.6,,1.1,2,yes,2
2018-1-2,2018,1,2,Houston,N.Y. Jets,,-6,-4.04,,-1.96,12,yes,12
2018-1-3,2018,1,3,Denver,Cleveland,x,-3,-5.64,,2.64,11,tie,0
2018-1-4,2018,1,4,Atlanta,Arizona,x,-8.5,-7.08,,-1.42,8,yes,8
2018-1-5,2018,1,5,Detroit,Buffalo,,2.5,-0.44,,2.94,3,no,0
2018-1-6,2018,1,6,Chicago,Green Bay,x,-6,-7.28,,1.28,5,yes,5
2018-1-7,2018,1,7,Cincinnati,Oakland,x,-3,-4.48,,1.48,4,yes,4
2018-1-8,2018,1,8,Indianapolis,Dallas,x,-3,0.88,,-3.88,10,no,0
2018-1-9,2018,1,9,Minnesota,Miami,x,-7,-6.6,,-0.4,7,yes,7
2018-1-10,2018,1,10,N.Y. Giants,Tennessee,x,-2.5,0.4,,-2.9,9,yes,9
2018-1-11,2018,1,11,Jacksonville,Washington,x,-7,-2.92,,-4.08,6,no,0
2018-1-12,2018,1,12,Baltimore,Tampa Bay,x,-7.5,-7.96,,0.46,15,no,0
2018-1-13,2018,1,13,Seattle,San Francisco,,-4.5,-6.32,,1.82,14,yes,14
2018-1-14,2018,1,14,New England,Pittsburgh,,-2,0.24,,-2.24,1,yes,1
2018-1-15,2018,1,15,L.A. Rams,Philadelphia,x,-11,-5.8,,-5.2,16,yes,16
2018-1-16,2018,1,16,New Orleans,Carolina,,-6,-5.72,,-0.28,13,no,0
2018-1-16,2018,1,16,L.A. Rams,Oakland,,-4,0,,-4,14,yes,14
2018-2-1,2018,2,1,Cincinnati,Baltimore,x,,-2.08,,2.08,5,yes,5
2018-2-2,2018,2,2,Atlanta,Carolina,x,-6,-3.44,,-2.56,3,yes,3
2018-2-3,2018,2,3,L.A. Chargers,Buffalo,,-7.5,0.92,,-8.42,14,yes,14
2018-2-4,2018,2,4,Minnesota,Green Bay,,-3,-2.8,,-0.2,9,tie,0
2018-2-5,2018,2,5,Houston,Tennessee,,-3.5,5.92,,-9.42,4,no,0
2018-2-6,2018,2,6,New Orleans,Cleveland,x,-9.5,-12.12,,2.62,15,yes,15
2018-2-7,2018,2,7,N.Y. Jets,Miami,x,-3,-3.24,,0.24,2,no,0
2018-2-8,2018,2,8,Kansas City,Pittsburgh,,4,2.16,,1.84,6,yes,6
2018-2-9,2018,2,9,Philadelphia,Tampa Bay,,-3,-3.6,,0.6,10,no,0
2018-2-10,2018,2,10,Washington,Indianapolis,x,-6,-7.68,,1.68,12,no,0
2018-2-11,2018,2,11,L.A. Rams,Arizona,x,-13,-7.16,,-5.84,16,yes,16
2018-2-12,2018,2,12,San Francisco,Detroit,x,-6,-2.2,,-3.8,13,yes,13
2018-2-13,2018,2,13,Denver,Oakland,x,-6.5,-3.84,,-2.66,11,yes,11
2018-2-14,2018,2,14,New England,Jacksonville,,-1.5,-1.68,,0.18,8,no,0
2018-2-15,2018,2,15,N.Y. Giants,Dallas,,3,7.92,,-4.92,1,no,0
2018-2-16,2018,2,16,Chicago,Seattle,x,-3.5,1.04,,-4.54,7,yes,7
2018-3-1,2018,3,1,N.Y. Jets,Cleveland,,3,-3.4,,6.4,4,no,0
2018-3-2,2018,3,2,New Orleans,Atlanta,,3,4.6,,-1.6,2,yes,2
2018-3-3,2018,3,3,Kansas City,San Francisco,x,-6.5,-8.52,,2.02,14,yes,14
2018-3-4,2018,3,4,Miami,Oakland,x,-3,-5.28,,2.28,6,yes,6
2018-3-5,2018,3,5,Minnesota,Buffalo,x,-16,-9,,-7,16,no,0
2018-3-6,2018,3,6,Philadelphia,Indianapolis,x,-6,-11,,5,8,yes,8
2018-3-7,2018,3,7,Green Bay,Washington,,-3,2.04,,-5.04,7,no,0
2018-3-8,2018,3,8,Cincinnati,Carolina,,3,3.72,,-0.72,9,no,0
2018-3-9,2018,3,9,Jacksonville,Tennessee,x,-6.5,-6.36,,-0.14,13,no,0
2018-3-10,2018,3,10,Baltimore,Denver,x,-5,-5.28,,0.28,3,yes,3
2018-3-11,2018,3,11,Houston,N.Y. Giants,x,-6,-2.48,,-3.52,10,no,0
2018-3-12,2018,3,12,L.A. Rams,L.A. Chargers,x,-7,-3.92,,-3.08,11,yes,11
2018-3-13,2018,3,13,Chicago,Arizona,,-6,1.24,,-7.24,15,yes,15
2018-3-14,2018,3,14,Seattle,Dallas,x,-1.5,-1.32,,-0.18,5,yes,5
2018-3-15,2018,3,15,New England,Detroit,,-6.5,-4.16,,-2.34,12,no,0
2018-3-16,2018,3,16,Tampa Bay,Pittsburgh,x,1,-1.16,,2.16,1,no,0
2018-4-1,2018,4,1,L.A. Rams,Minnesota,x,,-6.2,,6.2,1,yes,1
2018-4-2,2018,4,2,Atlanta,Cincinnati,x,4,-8.1,,12.1,13,no,0
2018-4-3,2018,4,3,Tampa Bay,Chicago,,,11.2,,-11.2,5,no,0
2018-4-4,2018,4,4,Dallas,Detroit,x,,-6,,6,9,yes,9
2018-4-5,2018,4,5,Green Bay,Buffalo,x,3.5,-3,,6.5,6,yes,6
2018-4-6,2018,4,6,Philadelphia,Tennessee,,,-1.2,,1.2,3,no,0
2018-4-7,2018,4,7,Indianapolis,Houston,x,3,-5.3,,8.3,12,no,0
2018-4-8,2018,4,8,New England,Miami,x,,-16.2,,16.2,11,yes,11
2018-4-9,2018,4,9,Jacksonville,N.Y. Jets,x,3.5,-6.8,,10.3,14,yes,14
2018-4-10,2018,4,10,Cleveland,Oakland,,-5.5,-0.4,,-5.1,8,no,0
2018-4-11,2018,4,11,Seattle,Arizona,,,,,,2,yes,2
2018-4-12,2018,4,12,New Orleans,N.Y. Giants,,,-7.5,,7.5,4,yes,4
2018-4-13,2018,4,13,L.A. Chargers,San Francisco,x,-3,-12.4,,9.4,15,yes,15
2018-4-14,2018,4,14,Pittsburgh,Baltimore,x,,-2.7,,2.7,10,no,0
2018-4-15,2018,4,15,Kansas City,Denver,,-3.5,-6.6,,3.1,7,yes,7
2018-5-1,2018,5,1,New England,Indianapolis,x,,-7.4,,7.4,15,yes,15
2018-5-2,2018,5,2,Tennessee,Buffalo,,5.5,-1.6,,7.1,10,no,0
2018-5-3,2018,5,3,Cincinnati,Miami,x,,-3.4,,3.4,9,yes,9
2018-5-4,2018,5,4,Baltimore,Cleveland,,,-4.3,,4.3,5,no,0
2018-5-5,2018,5,5,Detroit,Green Bay,x,-1.5,-4.7,,3.2,1,yes,1
2018-5-6,2018,5,6,Kansas City,Jacksonville,x,-3.5,-11.4,,7.9,8,yes,8
2018-5-7,2018,5,7,Denver,N.Y. Jets,,,-1.2,,1.2,4,no,0
2018-5-8,2018,5,8,Atlanta,Pittsburgh,,4,5.7,,-1.7,7,no,0
2018-5-9,2018,5,9,Carolina,N.Y. Giants,x,,-7.2,,7.2,14,yes,14
2018-5-10,2018,5,10,L.A. Chargers,Oakland,x,-3,-13.4,,10.4,11,yes,11
2018-5-11,2018,5,11,Minnesota,Philadelphia,,-4,5.2,,-9.2,6,yes,6
2018-5-12,2018,5,12,San Francisco,Arizona,x,,,,0,2,no,0
2018-5-13,2018,5,13,L.A. Rams,Seattle,,,0.6,,-0.6,13,yes,13
2018-5-14,2018,5,14,Houston,Dallas,x,,-0.8,,0.8,3,yes,3
2018-5-15,2018,5,15,New Orleans,Washington,x,,-12.8,,12.8,12,yes,12
2018-9-1,2018,9,1,San Francisco,Oakland,x,,-3.6,,3.6,6,yes,6
2018-9-2,2018,9,2,Chicago,Buffalo,,-3.5,-5.8,,2.3,12,yes,12
2018-9-3,2018,9,3,Kansas City,Cleveland,,-3.5,-6.2,,2.7,13,yes,13
2018-9-4,2018,9,4,Miami,N.Y. Jets,x,,-4.4,,4.4,1,yes,1
2018-9-5,2018,9,5,Minnesota,Detroit,x,-4,-5.5,,1.5,10,yes,10
2018-9-6,2018,9,6,Atlanta,Washington,,4,-2.2,,6.2,3,yes,3
2018-9-7,2018,9,7,Carolina,Tampa Bay,x,,-7.1,,7.1,11,yes,11
2018-9-8,2018,9,8,Baltimore,Pittsburgh,x,,-2.5,,2.5,2,no,0
2018-9-9,2018,9,9,Denver,Houston,x,,1.4,,-1.4,4,no,0
2018-9-10,2018,9,10,L.A. Chargers,Seattle,,-3,1.4,,-4.4,8,yes,8
