Serial,Year,Week,Game,Pick,Opponent,h?,Spread,Elo,Weighted DVOA,Difference,Weights,Correct?,Points
2016-5-7,2016,5,7,Pittsburgh,N.Y. Jets,,-7,-7.5,,0.5,13,yes,13
2016-5-8,2016,5,8,Baltimore,Washington,,-3.5,-4,,0.5,3,no,0
2016-5-9,2016,5,9,Denver,Atlanta,,-6,-8.5,,2.5,8,no,0
2016-5-10,2016,5,10,Cincinnati,Dallas,,-1,0,,-1,1,no,0
2016-5-11,2016,5,11,Oakland,L.A. Rams,,-3.5,-4,,0.5,7,yes,7
2016-5-12,2016,5,12,Buffalo,L.A. Rams,,2.5,1,,1.5,2,yes,2
2016-5-13,2016,5,13,Green Bay,N.Y. Giants,,-7,-8,,1,12,yes,12
2016-5-14,2016,5,14,Carolina,Tampa Bay,,-6,-9.5,,3.5,9,no,0
2016-6-1,2016,6,1,Denver,L.A. Rams,,-3,-6.5,,3.5,14,no,0
2016-6-2,2016,6,2,Buffalo,San Francisco,,-8,-10,,2,11,yes,11
2016-6-3,2016,6,3,Chicago,Jacksonville,,-2.5,-3.5,,1,4,no,0
2016-6-4,2016,6,4,Detroit,L.A. Rams,,-3,-2.5,,-0.5,9,yes,9
2016-6-5,2016,6,5,Tennessee,Cleveland,,-7,-4,,-3,10,yes,10
2016-6-6,2016,6,6,Pittsburgh,Miami,,-7.5,-7.5,,0,15,no,0
2016-6-7,2016,6,7,New England,Cincinnati,,-9,-5.5,,-3.5,12,yes,12
2016-6-8,2016,6,8,New Orleans,Carolina,,-3,2.5,,-5.5,5,yes,5
2016-6-9,2016,6,9,N.Y. Giants,Baltimore,,-3,-1.5,,-1.5,6,yes,6
2016-6-10,2016,6,10,Philadelphia,Washington,,-2,0,,-2,2,no,0
2016-6-11,2016,6,11,Oakland,Kansas City,,0,2,,-2,1,no,0
2016-6-12,2016,6,12,Dallas,Green Bay,,4,5.5,,-1.5,7,yes,7
2016-6-13,2016,6,13,Seattle,Atlanta,,-6.5,-5.5,,-1,8,yes,8
2016-6-14,2016,6,14,Indianapolis,Houston,,3.5,5,,-1.5,3,no,0
2016-6-15,2016,6,15,Arizona,N.Y. Jets,,-7.5,-6,,-1.5,13,yes,13
2016-7-1,2016,7,1,Green Bay,Chicago,,-7.5,-10,,2.5,11,yes,11
2016-7-2,2016,7,2,N.Y. Giants,L.A. Rams,,-2.5,0.5,,-3,3,yes,3
2016-7-3,2016,7,3,Cincinnati,Cleveland,,-9.5,-10.5,,1,15,yes,15
2016-7-4,2016,7,4,Detroit,Washington,,-1.5,-1.5,,0,7,yes,7
2016-7-5,2016,7,5,Tennessee,Indianapolis,,-2.5,0.5,,-3,1,no,0
2016-7-6,2016,7,6,Kansas City,New Orleans,,-6.5,-9.5,,3,10,yes,10
2016-7-7,2016,7,7,Buffalo,Miami,,-3,-4,,1,9,no,0
2016-7-8,2016,7,8,Baltimore,N.Y. Jets,,0,2.5,,-2.5,2,no,0
2016-7-9,2016,7,9,Minnesota,Philadelphia,,-2.5,-2,,-0.5,8,no,0
2016-7-10,2016,7,10,Jacksonville,Oakland,,-1,0.5,,-1.5,5,no,0
2016-7-11,2016,7,11,Atlanta,L.A. Rams,,-6.5,-7,,0.5,12,no,0
2016-7-12,2016,7,12,Tampa Bay,San Francisco,,-2,1.5,,-3.5,4,yes,4
2016-7-13,2016,7,13,New England,Pittsburgh,,-7,1,,-8,14,yes,14
2016-7-14,2016,7,14,Arizona,Seattle,,-2,-0.5,,-1.5,6,,
2016-7-15,2016,7,15,Denver,Houston,,-7,-6.5,,-0.5,13,yes,13
2016-8-1,2016,8,1,Tennessee,Jacksonville,,-3.5,-2.5,,-1,8,yes,8
2016-8-2,2016,8,2,Cincinnati,Washington,,-3,-0.5,,-2.5,6,,
2016-8-3,2016,8,3,New England,Buffalo,,-6.5,-0.5,,-6,13,yes,13
2016-8-4,2016,8,4,N.Y. Jets,Cleveland,,-4.5,-4.5,,0,9,yes,9
