Year,Week,Won Toss,Won OT Toss,Roof,Surface,Duration,Attendance,Weather,Vegas Line,Over/Under,Link,Favorite,Vegas Line,Over/Under (Points)
2015,2,Chargers (deferred),,outdoors,fieldturf ,3:06,"57,579","69 degrees, relative humidity 47%, wind 6 mph, wind chill 0",Cincinnati Bengals -3.0,47.0 (under),https://www.pro-football-reference.com/boxscores/201509200cin.htm,Cincinnati Bengals,-3,47
2015,2,Ravens (deferred),,outdoors,grass ,3:25,"53,500","80 degrees, relative humidity 32%, wind 8 mph, wind chill 0",Baltimore Ravens -6.0,43.0 (over),https://www.pro-football-reference.com/boxscores/201509200rai.htm,Baltimore Ravens,-6,43
2015,2,Dolphins (deferred),,outdoors,grass ,3:17,"65,443","87 degrees, relative humidity 55%, wind 5 mph, wind chill 0",Miami Dolphins -6.0,41.5 (over),https://www.pro-football-reference.com/boxscores/201509200jax.htm,Miami Dolphins,-6,41.5
2015,2,Cowboys,,outdoors,grass ,3:13,"69,296","77 degrees, relative humidity 37%, wind 15 mph, wind chill 0",Philadelphia Eagles -5.0,55.0 (under),https://www.pro-football-reference.com/boxscores/201509200phi.htm,Philadelphia Eagles,-5,55
2015,2,Packers,,outdoors,grass ,3:26,"78,433","62 degrees, relative humidity 52%, wind 9 mph, wind chill 0",Green Bay Packers -3.0,49.0 (under),https://www.pro-football-reference.com/boxscores/201509200gnb.htm,Green Bay Packers,-3,49
2015,2,Colts (deferred),,retractable roof (closed),fieldturf ,3:04,"65,220",,Indianapolis Colts -7.0,46.5 (under),https://www.pro-football-reference.com/boxscores/201509210clt.htm,Indianapolis Colts,-7,46.5
2015,3,Giants (deferred),,outdoors,fieldturf ,3:19,"76,081","71 degrees, relative humidity 60%, wind 4 mph, wind chill 0",New York Giants -3.5,44.0 (over),https://www.pro-football-reference.com/boxscores/201509240nyg.htm,New York Giants,-3.5,44
2015,3,Steelers,,dome,astroplay,3:10,"52,433",,Pittsburgh Steelers -1.0,48.0 (under),https://www.pro-football-reference.com/boxscores/201509270ram.htm,Pittsburgh Steelers,-1,48
2015,3,Browns (deferred),,outdoors,grass ,3:20,"67,431","75 degrees, relative humidity 62%, wind 16 mph, wind chill 0",Cleveland Browns -3.5,42.5 (over),https://www.pro-football-reference.com/boxscores/201509270cle.htm,Cleveland Browns,-3.5,42.5
2015,3,Ravens,,outdoors,sportturf,3:27,"70,970","70 degrees, relative humidity 20%, wind 12 mph, wind chill 0",Baltimore Ravens -2.5,44.5 (over),https://www.pro-football-reference.com/boxscores/201509270rav.htm,Baltimore Ravens,-2.5,44.5
